अ ə
नावाजते naʋadʒət̪e
नावाडग्या naʋaɖəgja
नावान naʋanə
नाविन्याच्या naʋinjatʃja
नावीक naʋikə
नावेद naʋed̪ə
नावेली naʋeli
नाश naʃə
नाशवंत naʃəʋə̃t̪ə
नाशाडी naʃaɖi
नाशिकाच्या naʃikatʃja
नाशिल्यो naʃiljo
नाशिल्ली naʃilli
नाशिल्लीं naʃillĩ
नाशिल्लीअमेरिकेच्यो naʃilliəmeriketʃjo
नाशिल्लीअशा naʃilliəʃa
नाशिल्लीजॅक्सनान naʃillidʒɛksənanə
नाशिल्लीमात naʃillimat̪ə
नाशिल्ले naʃille
नाशिल्लें naʃillẽ
नाशिल्लेंच naʃillẽtʃə
नाशिल्लेंते naʃillẽt̪e
नाशिल्लेय naʃillejə
नाशिल्लो naʃillo
नाशिल्लों naʃillõ
नाशिल्लोच naʃillotʃə
नाशिल्ल्या naʃillja
नाशिल्ल्यांक naʃilljãkə
नाशिल्ल्यांकूय naʃilljãkujə
नाशिल्ल्यांची naʃilljãtʃi
नाशिल्ल्यांचें naʃilljãtʃẽ
नाशिल्ल्यांन naʃilljãnə
नाशिल्ल्यांनी naʃilljãni
नाशिल्ल्याकय naʃilljakəjə
नाशिल्ल्याचे naʃilljatʃe
नाशिल्ल्याचें naʃilljatʃẽ
नाशिल्ल्याचो naʃilljatʃo
नाशिल्ल्यान naʃilljanə
नाशिल्ल्यो naʃilljo
नासची nasətʃi
नासचोच nasətʃotʃə
नासच्यो nasətʃjo
नासत nasət̪ə
नासतकच nasət̪əkətʃə
नासतकूच nasət̪əkutʃə
नासतना nasət̪əna
नासतनामना nasət̪ənaməna
नासतनाय nasət̪ənajə
नासतलें nasət̪əlẽ
नासतलो nasət̪əlo
नासतलोच nasət̪əlotʃə
नासता nasət̪a
नासताच nasət̪atʃə
नासतात nasət̪at̪ə
नासतातर nasət̪at̪ərə
नासताना nasət̪ana
नासताली nasət̪ali
नासताले nasət̪ale
नासतालो nasət̪alo
नासताव्हनेनझुएलांत nasət̪aʋɦənenədʒʱuelãt̪ə
नासतूय nasət̪ujə
नासतो nasət̪o
नासधूस nasəd̪ʰusə
नासप nasəpə
नासली nasəli
नासलीं nasəlĩ
नासलींच nasəlĩtʃə
नासले nasəle
नासलें nasəlẽ
नासलेंहांव nasəlẽɦãʋə
नासलेंहांवें nasəlẽɦãʋẽ
नासलो nasəlo
नासल्यार nasəljarə
नासल्यारय nasəljarəjə
नासल्यो nasəljo
नासा nasa
नासाचीं nasatʃĩ
नासाचे nasatʃe
नासाच्या nasatʃja
नासाडपणाची nasaɖəpəɳatʃi
नासाडी nasaɖi
नासुंये nasũje
नासूं nasũ
नासून nasunə
नासूनय nasunəjə
नाहाचेर naɦatʃerə
नाही naɦi
नि ni
निंग nĩgə
निंदेचो nĩd̪etʃo
निंबाळकर nĩbaɭəkərə
निंबून nĩbunə
निःपक्ष niHpəkʂə
निःपक्षपाती niHpəkʂəpat̪i
निःपात niHpat̪ə
निःशस्त्र niHʃəst̪rə
निःशस्त्रीकरण niHʃəst̪rikərəɳə
निःशस्र niHʃəsrə
निःस्पृह niHspxɦə
निओ nio
निकतींच nikət̪ĩtʃə
निकतीच nikət̪itʃə
निकतेंच nikət̪ẽtʃə
निकतेच nikət̪etʃə
निकतोच nikət̪otʃə
निकत्याच nikət̪jatʃə
निकम्मा nikəmma
निकश nikəʃə
निकशा nikəʃa
निकशांचेर nikəʃãtʃerə
निकशांत nikəʃãt̪ə
निकशाचेर nikəʃatʃerə
निकामी nikami
निकाल nikalə
निकाला nikala
निकालां nikalã
निकालांचो nikalãtʃo
निकालांत nikalãt̪ə
निकालांनी nikalãni
निकालाची nikalatʃi
निकालाचें nikalatʃẽ
निकालाचेर nikalatʃerə
निकाह nikaɦə
निकाहाच्या nikaɦatʃja
निकोप nikopə
निकोबार nikobarə
निकोबारा nikobara
निकोल nikolə
निकोलस nikoləsə
निकोलसान nikoləsanə
निखटी nikʰəʈi
निखटें nikʰəʈẽ
निखटो nikʰəʈo
निखठ्या nikʰəʈʰja
निखळ nikʰəɭə
निखळचें nikʰəɭətʃẽ
निखळपाक nikʰəɭəpakə
निखळपाची nikʰəɭəpatʃi
निखळायात nikʰəɭajat̪ə
निखळावंक nikʰəɭaʋə̃kə
निखळावचोच nikʰəɭaʋətʃotʃə
निखालस nikʰaləsə
निखालूस nikʰalusə
निखिल nikʰilə
निगरगट्ट nigərəgəʈʈə
निगर्वी nigərʋi
निगळ्ये nigəɭje
निगा niga
निगेटिव्ह nigeʈiʋɦə
निगोटिव्ह nigoʈiʋɦə
निग्रहान nigrəɦanə
निजाचे nidʒatʃe
निजाचें nidʒatʃẽ
निजाचो nidʒatʃo
निजाच्या nidʒatʃja
निजी nidʒi
नितळ nit̪əɭə
नितळनिर्भीड nit̪əɭənirbʱiɖə
नितळसाण nit̪əɭəsaɳə
नितळसाणी nit̪əɭəsaɳi
नितळसाणीचें nit̪əɭəsaɳitʃẽ
नितळसाणीचो nit̪əɭəsaɳitʃo
नितळसाणे nit̪əɭəsaɳe
नितांत nit̪ãt̪ə
नितिमत्ता nit̪imət̪t̪a
निती nit̪i
नितींतल्या nit̪ĩt̪əlja
नितीक nit̪ikə
नितीकल्पना nit̪ikəlpəna
नितीची nit̪itʃi
नितीच्या nit̪itʃja
नितीच्यो nit̪itʃjo
नितीतत्व nit̪it̪ət̪ʋə
नितीतत्वांत nit̪it̪ət̪ʋãt̪ə
नितीन nit̪inə
नितीनाक nit̪inakə
नितीभ्रश्ट nit̪ibʱrəʃʈə
नितीमत्ता nit̪imət̪t̪a
नितीमत्तेचेर nit̪imət̪t̪etʃerə
नितीश nit̪iʃə
नित्य nit̪jə
नित्यनूतन nit̪jənut̪ənə
नित्यानंद nit̪janə̃d̪ə
निदर्शन nid̪ərʃənə
निदर्शनां nid̪ərʃənã
निदान nid̪anə
निधर्मवाद nid̪ʰərməʋad̪ə
निधर्मी nid̪ʰərmi
निधी nid̪ʰi
निधींतल्यान nid̪ʰĩt̪əljanə
निधीची nid̪ʰitʃi
निधीचेर nid̪ʰitʃerə
निधीचो nid̪ʰitʃo
निधीच्या nid̪ʰitʃja
निधीन nid̪ʰinə
निनावीं ninaʋĩ
निपक्षपाती nipəkʂəpat̪i
निपक्षपातीपणान nipəkʂəpat̪ipəɳanə
निबंद nibə̃d̪ə
निबंदकार nibə̃d̪əkarə
निबंदाक nibə̃d̪akə
निबंदाचो nibə̃d̪atʃo
निबंध nibə̃d̪ʰə
निबर nibərə
निबरसाणीचेर nibərəsaɳitʃerə
निबून nibunə
निभांव nibʱãʋə
निभायता nibʱajət̪a
निभायतात nibʱajət̪at̪ə
निभावप nibʱaʋəpə
निभावपाच्यो nibʱaʋəpatʃjo
निमंत्रक nimə̃t̪rəkə
निमंत्रण nimə̃t̪rəɳə
निमंत्रितांक nimə̃t̪rit̪ãkə
निमंत्रितांची nimə̃t̪rit̪ãtʃi
निमणी niməɳi
निमणीं niməɳĩ
निमणे niməɳe
निमणें niməɳẽ
निमणो niməɳo
निमण्या niməɳja
निमण्यां niməɳjã
निमण्य़ा niməɳja
निमतां nimət̪ã
निमतांची nimət̪ãtʃi
निमताक nimət̪akə
निमतान nimət̪anə
निमाणकडेन nimaɳəkəɖenə
निमाणची nimaɳətʃi
निमाणचे nimaɳətʃe
निमाणी nimaɳi
निमाणे nimaɳe
निमाणें nimaɳẽ
निमाणो nimaɳo
निमाण्या nimaɳja
निमातान nimat̪anə
निमित nimit̪ə
निमित्त nimit̪t̪ə
निमित्त्य nimit̪t̪jə
निमित्य nimit̪jə
नियंत्रक nijə̃t̪rəkə
नियंत्रकांचे nijə̃t̪rəkãtʃe
नियंत्रकाक nijə̃t̪rəkakə
नियंत्रण nijə̃t̪rəɳə
नियंत्रणा nijə̃t̪rəɳa
नियंत्रणांत nijə̃t̪rəɳãt̪ə
नियंत्रणाचो nijə̃t̪rəɳatʃo
नियंत्रणूच nijə̃t̪rəɳutʃə
नियंत्रीत nijə̃t̪rit̪ə
नियती nijət̪i
नियतीक nijət̪ikə
नियतीचें nijət̪itʃẽ
नियतीन nijət̪inə
नियामक nijaməkə
नियाळ nijaɭə
नियाळतात nijaɭət̪at̪ə
नियुक्ती nijukt̪i
नियोजन nijodʒənə
नियोजनाच्या nijodʒənatʃja
निरंतर nirə̃t̪ərə
निरंतरताय nirə̃t̪ərət̪ajə
निरक्षर nirəkʂərə
निरज nirədʒə
निरजा nirədʒa
निरजाची nirədʒatʃi
निरपराध nirəpərad̪ʰə
निरपराधांच्या nirəpərad̪ʰãtʃja
निरपराध्यांच्या nirəpərad̪ʰjãtʃja
निरपेक्ष nirəpekʂə
निरपेक्षपणान nirəpekʂəpəɳanə
निरसन nirəsənə
निराकाराचे nirakaratʃe
निरागस niragəsə
निराधार nirad̪ʰarə
निराश niraʃə
निराशप niraʃəpə
निराशा niraʃa
निराशाच niraʃatʃə
निरिक्षक nirikʂəkə
निरिक्षकांक nirikʂəkãkə
निरिक्षकांचें nirikʂəkãtʃẽ
निरिक्षकान nirikʂəkanə
निरिक्षण nirikʂəɳə
निरिक्षणां nirikʂəɳã
निरिक्षणांत nirikʂəɳãt̪ə
निरिश्वरवादी niriʃʋərəʋad̪i
निरिश्वरवाद्यांक niriʃʋərəʋad̪jãkə
निरिश्वरवाद्यांचेय niriʃʋərəʋad̪jãtʃejə
निरिश्वरवाद्यांच्यो niriʃʋərəʋad̪jãtʃjo
निरिश्वस्वाद्यांचे niriʃʋəsʋad̪jãtʃe
निरीक्षक nirikʂəkə
निरुत्साह nirut̪saɦə
निरुनेलवेलींतल्या niruneləʋelĩt̪əlja
निरुपण nirupəɳə
निरुपणा nirupəɳa
निरुपपायान nirupəpajanə
निरुपाय nirupajə
निरुपायान nirupajanə
निरुपेगी nirupegi
निरूपम nirupəmə
निरोगी nirogi
निरोप niropə
निरोपाच्या niropatʃja
निर्गत nirgət̪ə
निर्गतय nirgət̪əjə
निर्गतीचे nirgət̪itʃe
निर्गतीचेर nirgət̪itʃerə
निर्जीव nirdʒiʋə
निर्णय nirɳəjə
निर्णयक्षमता nirɳəjəkʂəmət̪a
निर्णयक्षमतेचेर nirɳəjəkʂəmət̪etʃerə
निर्णया nirɳəja
निर्णयां nirɳəjã
निर्णयांचें nirɳəjãtʃẽ
निर्णयाक nirɳəjakə
निर्णयाची nirɳəjatʃi
निर्णयाचे nirɳəjatʃe
निर्णयाचेर nirɳəjatʃerə
निर्णयाचो nirɳəjatʃo
निर्णयान nirɳəjanə
निर्णायक nirɳajəkə
निर्दयपणान nird̪əjəpəɳanə
निर्देश nird̪eʃə
निर्देशक nird̪eʃəkə
निर्देशांक nird̪eʃãkə
निर्दोश nird̪oʃə
निर्दोशताय nird̪oʃət̪ajə
निर्दोशीच nird̪oʃitʃə
निर्धमी nird̪ʰəmi
निर्धार nird̪ʰarə
निर्धारान nird̪ʰaranə
निर्धारीत nird̪ʰarit̪ə
निर्धास्त nird̪ʰast̪ə
निर्नायकी nirnajəki
निर्फळ nirfəɭə
निर्फळटाय nirfəɭəʈajə
निर्बंध nirbə̃d̪ʰə
निर्बंधूय nirbə̃d̪ʰujə
निर्बुद्ध nirbud̪d̪ʰə
निर्भत्सने nirbʱət̪səne
निर्भय nirbʱəjə
निर्भयपणान nirbʱəjəpəɳanə
निर्भीड nirbʱiɖə
निर्भीडपणान nirbʱiɖəpəɳanə
निर्मणी nirməɳi
निर्मणीय nirməɳijə
निर्मणे nirməɳe
निर्मणेचे nirməɳetʃe
निर्मणेचो nirməɳetʃo
निर्मल nirmələ
निर्मलन nirmələnə
निर्मला nirməla
निर्मलाक nirməlakə
निर्मलाबाई nirməlabai:
निर्मळ nirməɭə
निर्माण nirmaɳə
निर्माते nirmat̪e
निर्मातो nirmat̪o
निर्मातोनाटक nirmat̪onaʈəkə
निर्मात्याक nirmat̪jakə
निर्मात्याचे nirmat̪jatʃe
निर्मात्याचें nirmat̪jatʃẽ
निर्मात्याचेरूच nirmat̪jatʃerutʃə
निर्मात्याचो nirmat̪jatʃo
निर्मात्यान nirmat̪janə
निर्मालय nirmaləjə
निर्मिणी nirmiɳi
निर्मिणेंत nirmiɳẽt̪ə
निर्मिणेची nirmiɳetʃi
निर्मिणेन nirmiɳenə
निर्मित nirmit̪ə
निर्मिती nirmit̪i
निर्मितीक nirmit̪ikə
निर्मितीकय nirmit̪ikəjə
निर्मितीखरेदीच्या nirmit̪ikʰəred̪itʃja
निर्मितीची nirmit̪itʃi
निर्मितीचे nirmit̪itʃe
निर्मितीचें nirmit̪itʃẽ
निर्मितीचेर nirmit̪itʃerə
निर्मितीचो nirmit̪itʃo
निर्मितीच्या nirmit̪itʃja
निर्मितूय nirmit̪ujə
निर्मिलां nirmilã
निर्मिल्ली nirmilli
निर्मिल्ले nirmille
निर्मिल्ल्या nirmillja
निर्मीत nirmit̪ə
निर्मुलन nirmulənə
निर्मोण nirmoɳə
निर्मोणाची nirmoɳatʃi
निर्लज्ज nirlədʒdʒə
निर्लज्जपणान nirlədʒdʒəpəɳanə
निर्वाण nirʋaɳə
निर्वाणाची nirʋaɳatʃi
निर्वाणेच्या nirʋaɳetʃja
निर्वात nirʋat̪ə
निर्वार्णाची nirʋarɳatʃi
निर्वाळो nirʋaɭo
निर्वासीत nirʋasit̪ə
निर्वाह nirʋaɦə
निर्विकार nirʋikarə
निर्विवाद nirʋiʋad̪ə
निर्विवादपणान nirʋiʋad̪əpəɳanə
निर्व्यसनी nirʋjəsəni
निर्शेणी nirʃeɳi
निर्शेणेक nirʃeɳekə
निर्शेणेन nirʃeɳenə
निर्शेतां nirʃet̪ã
निर्शेतालो nirʃet̪alo
निर्शेनासतना nirʃenasət̪əna
निर्शेलो nirʃelo
निर्शेल्यार nirʃeljarə
निर्शेल्लो nirʃello
निर्शेवणी nirʃeʋəɳi
निलंबत nilə̃bət̪ə
निलंबीत nilə̃bit̪ə
निलकेणी niləkeɳi
निलबींत niləbĩt̪ə
निलयम् niləjəm
निलांबर nilãbərə
निलागेर nilagerə
निलाजरेपणाचो niladʒərepəɳatʃo
निलाब्रो nilabro
निळी niɭi
निळे niɭe
निवड niʋəɖə
निवडक niʋəɖəkə
निवडचें niʋəɖətʃẽ
निवडप niʋəɖəpə
निवडीक niʋəɖikə
निवडीचेर niʋəɖitʃerə
निवडून niʋəɖunə
निवळ niʋəɭə
निवळटकच niʋəɭəʈəkətʃə
निवळसाणीचीं niʋəɭəsaɳitʃĩ
निवळिल्ली niʋəɭilli
निवळ्ळ्या niʋəɭɭja
निवाडो niʋaɖo
निवार niʋarə
निवारण niʋarəɳə
निवाऱ्याची niʋajatʃi
निवास niʋasə
निवासी niʋasi
निविदा niʋid̪a
निवृत niʋxt̪ə
निवृततीं niʋxt̪ət̪ĩ
निवृत्त niʋxt̪t̪ə
निवृत्तय niʋxt̪t̪əjə
निवृत्तांक niʋxt̪t̪ãkə
निवृत्ती niʋxt̪t̪i
निवेदन niʋed̪ənə
निवेदनां niʋed̪ənã
निव्वळ niʋʋəɭə
निशचीतच niʃətʃit̪ətʃə
निशपक्षपणान niʃəpəkʂəpəɳanə
निशा niʃa
निशाणी niʃaɳi
निशी niʃi
निशेद niʃed̪ə
निशेध niʃed̪ʰə
निशेधाचें niʃed̪ʰatʃẽ
निशेधाचो niʃed̪ʰatʃo
निश्कर्श niʃkərʃə
निश्कर्शा niʃkərʃa
निश्कर्शाचेर niʃkərʃatʃerə
निश्कर्शाचो niʃkərʃatʃo
निश्कलंक niʃkələ̃kə
निश्कलंकपणान niʃkələ̃kəpəɳanə
निश्काळजी niʃkaɭədʒi
निश्काळजीपणां niʃkaɭədʒipəɳã
निश्काळजीपणाचो niʃkaɭədʒipəɳatʃo
निश्काळजीपणान niʃkaɭədʒipəɳanə
निश्क्रिय niʃkrijə
निश्क्रियते niʃkrijət̪e
निश्क्रीय niʃkrijə
निश्क्रीयताय niʃkrijət̪ajə
निश्क्रीयतायेंतल्यान niʃkrijət̪ajẽt̪əljanə
निश्चय niʃtʃəjə
निश्चितच niʃtʃit̪ətʃə
निश्चिती niʃtʃit̪i
निश्चितूय niʃtʃit̪ujə
निश्चींत niʃtʃĩt̪ə
निश्चीत niʃtʃit̪ə
निश्चीतच niʃtʃit̪ətʃə
निश्चीतपणान niʃtʃit̪əpəɳanə
निश्चेव niʃtʃeʋə
निश्चेवा niʃtʃeʋa
निश्टूर niʃʈurə
निश्ठा niʃʈʰa
निश्ठापूर्वक niʃʈʰapurʋəkə
निश्ठाप्रेम niʃʈʰapremə
निश्ठाय niʃʈʰajə
निश्ठावंत niʃʈʰaʋə̃t̪ə
निश्ठावंतांक niʃʈʰaʋə̃t̪ãkə
निश्ठावंतांचें niʃʈʰaʋə̃t̪ãtʃẽ
निश्ठावान niʃʈʰaʋanə
निश्ठुरूय niʃʈʰurujə
निश्ठूर niʃʈʰurə
निश्ठूरपण niʃʈʰurəpəɳə
निश्ठेची niʃʈʰetʃi
निश्ठेन niʃʈʰenə
निश्ठो niʃʈʰo
निश्पक्ष niʃpəkʂə
निश्पन्न niʃpənnə
निश्पर्ण niʃpərɳə
निश्पाप niʃpapə
निश्पापीक niʃpapikə
निश्प्रभ niʃprəbʱə
निश्रेयस niʃrejəsə
निष्पाप niʂpapə
निसट्टें nisəʈʈẽ
निसण nisəɳə
निसरतात nisərət̪at̪ə
निसरत्या nisərət̪ja
निसरले nisərəle
निसरलो nisərəlo
निसरूच nisərutʃə
निसरून nisərunə
निसर्ग nisərgə
निसर्गीक nisərgikə
निसात्वीक nisat̪ʋikə
निसुवार्थी nisuʋart̪ʰi
निस्कर्शा niskərʃa
निस्मद्रवी nisməd̪rəʋi
निस्वार्थी nisʋart̪ʰi
नी ni
नीच nitʃə
नीज nidʒə
नीट niʈə
नीत nit̪ə
नीतनेमांची nit̪ənemãtʃi
नीतन्यायान nit̪ənjajanə
नीता nit̪a
नीतिन nit̪inə
नीतीक nit̪ikə
नीमलश्करी nimələʃkəri
नीमसरकारी niməsərəkari
नीवळ niʋəɭə
नुकसान nukəsanə
नुतनीकरण nut̪ənikərəɳə
नुने nune
नुनेच्या nunetʃja
नुयी nuji
नुयीन nujinə
नुरिया nurija
नुवान nuʋanə
नुवेंच्या nuʋẽtʃja
नुव्यां nuʋjã
नुसते nusət̪e
नुसार nusarə
नुस्तें nust̪ẽ
नुस्तेंच nust̪ẽtʃə
नुस्तेंमारी nust̪ẽmari
नुस्तेंय nust̪ẽjə
नुस्तेकारांच्यो nust̪ekarãtʃjo
नुस्तेकारांनी nust̪ekarãni
नुस्तेमार nust̪emarə
नुस्तेमारीक nust̪emarikə
नुस्त्या nust̪ja
नुस्त्याक nust̪jakə
नुस्त्याची nust̪jatʃi
नुस्त्याचीं nust̪jatʃĩ
नुस्त्याचो nust̪jatʃo
नुस्त्याच्या nust̪jatʃja
नू nu
नूर nurə
नृत्य nxt̪jə
नृत्यकलेचें nxt̪jəkəletʃẽ
नृत्यांगना nxt̪jãgəna
नृत्यागंने nxt̪jagə̃ne
नॅट nɛʈə
नॅथन nɛt̪ʰənə
नॅथनाची nɛt̪ʰənatʃi
नॅथनान nɛt̪ʰənanə
नॅफी nɛfi
नॅरी nɛri
नॅशनल nɛʃənələ
नॅशनला nɛʃənəla
ने ne
नेखत्री nekʰət̪ri
नेच्यपरोपथी netʃjəpəropət̪ʰi
नेट neʈə
नेटवर्क neʈəʋərkə
नेटवर्थ neʈəʋərt̪ʰə
नेटांत neʈãt̪ə
नेटाची neʈatʃi
नेटान neʈanə
नेटानकार्य neʈanəkarjə
नेटानेटान neʈaneʈanə
नेटार neʈarə
नेणटी neɳəʈi
नेणार neɳarə
नेणारांक neɳarãkə
नेण्टे neɳʈe
नेण्ट्यांची neɳʈjãtʃi
नेता net̪a
नेताजी net̪adʒi
नेतीचोच net̪itʃotʃə
नेतुर्ली net̪urli
नेतुर्लेंतली net̪urlẽt̪əli
नेतुली net̪uli
नेतुलीं net̪ulĩ
नेतृत्व net̪xt̪ʋə
नेतृत्वगुण net̪xt̪ʋəguɳə
नेतृत्वगूण net̪xt̪ʋəguɳə
नेतृत्वा net̪xt̪ʋa
नेतृत्वाक net̪xt̪ʋakə
नेतृत्वाचो net̪xt̪ʋatʃo
नेतृत्वान net̪xt̪ʋanə
नेत्रदान net̪rəd̪anə
नेत्रदानाच्या net̪rəd̪anatʃja
नेत्रावळी net̪raʋəɭi
नेत्रावळींतलो net̪raʋəɭĩt̪əlo
नेत्रावळीतल्यानूच net̪raʋəɭit̪əljanutʃə
नेनाद nenad̪ə
नेपथ्य nepət̪ʰjə
नेपळांत nepəɭãt̪ə
नेपाल nepalə
नेपाळ nepaɭə
नेपाळचे nepaɭətʃe
नेपाळच्या nepaɭətʃja
नेपाळांत nepaɭãt̪ə
नेपाळांतली nepaɭãt̪əli
नेपाळांतलेय nepaɭãt̪əlejə
नेपाळांतलो nepaɭãt̪əlo
नेपाळांतल्या nepaɭãt̪əlja
नेपाळाक nepaɭakə
नेपाळाची nepaɭatʃi
नेपाळाचे nepaɭatʃe
नेपाळाच्या nepaɭatʃja
नेपाळी nepaɭi
नेपोलियन nepolijənə
नेफा nefa
नेबरहूड nebərəɦuɖə
नेम nemə
नेमकायदे neməkajəd̪e
नेमकी neməki
नेमकीं neməkĩ
नेमके neməke
नेमकें neməkẽ
नेमकेपणानतांचे neməkepəɳanət̪ãtʃe
नेमको neməko
नेमक्या neməkja
नेमणुके neməɳuke
नेमणुकेचे neməɳuketʃe
नेमणुकेचें neməɳuketʃẽ
नेमणुको neməɳuko
नेमणूक neməɳukə
नेमतकच nemət̪əkətʃə
नेमतले nemət̪əle
नेमता nemət̪a
नेमपाक neməpakə
नेमपाची neməpatʃi
नेमपाचो neməpatʃo
नेमपेरूमलसामीक neməperumələsamikə
नेमलल्या nemələlja
नेमला neməla
नेमले neməle
नेमलो neməlo
नेमल्या neməlja
नेमल्यात neməljat̪ə
नेमस्त neməst̪ə
नेमा nema
नेमां nemã
नेमांक nemãkə
नेमांची nemãtʃi
नेमांचे nemãtʃe
नेमांचें nemãtʃẽ
नेमाक nemakə
नेमान nemanə
नेमाळीं nemaɭĩ
नेमाळें nemaɭẽ
नेमाळ्यांत nemaɭjãt̪ə
नेमाळ्यांतले nemaɭjãt̪əle
नेमाळ्यांतल्यान nemaɭjãt̪əljanə
नेमाळ्यांनी nemaɭjãni
नेमाळ्याची nemaɭjatʃi
नेमाळ्याचे nemaɭjatʃe
नेमाळ्याचो nemaɭjatʃo
नेमाळ्यान nemaɭjanə
नेमावळ nemaʋəɭə
नेमियार nemijarə
नेमिल्ले nemille
नेमिल्लो nemillo
नेमिल्लोच nemillotʃə
नेमिल्ल्या nemillja
नेमूंक nemũkə
नेमूच nemutʃə
नेमून nemunə
नेरसेंतल्या nerəsẽt̪əlja
नेरी neri
नेरूल nerulə
नेल्सन nelsənə
नेवर्योप neʋərjopə
नेवील neʋilə
नेशन्स neʃənsə
नेशन्साचो neʃənsatʃo
नेसियो nesijo
नेस्टर nesʈərə
नेहरा neɦəra
नेहरान neɦəranə
नेहरी neɦəri
नेहरु neɦəru
नेहरू neɦəru
नेहरूं neɦərũ
नेहरूंक neɦərũkə
नेहरूंचे neɦərũtʃe
नेहरूंनी neɦərũni
नेहरूक neɦərukə
नेहवाल neɦəʋalə
नैतीक nɨjt̪ikə
नैतीकताय nɨjt̪ikət̪ajə
नैतीकतायेचे nɨjt̪ikət̪ajetʃe
नैतीकतेच्या nɨjt̪ikət̪etʃja
नैसगींक nɨjsəgĩkə
नॉकआवट nɔkəaʋəʈə
नॉट nɔʈə
नॉटिंचेर nɔʈĩtʃerə
नॉन nɔnə
नॉबल nɔbələ
नॉर्थन nɔrt̪ʰənə
नॉर्वे nɔrʋe
नॉर्वेची nɔrʋetʃi
नॉल nɔlə
नॉवाक nɔʋakə
नॉस्टेल्जिक nɔsʈeldʒikə
नो no
नोंद nõd̪ə
नोंदणी nõd̪əɳi
नोंदणीकृत nõd̪əɳikxt̪ə
नोंदयतलो nõd̪əjət̪əlo
नोंदयली nõd̪əjəli
नोंदिल्लो nõd̪illo
नोंदोवपा nõd̪oʋəpa
नोंव्हेंबरा nõʋɦẽbəra
नोएडा noeɖa
नोकर nokərə
नोकरभरती nokərəbʱərət̪i
नोकरभरतेचेर nokərəbʱərət̪etʃerə
नोकरश nokərəʃə
नोकरशा nokərəʃa
नोकरशाय nokərəʃajə
नोकरशायेक nokərəʃajekə
नोकरशायेच्या nokərəʃajetʃja
नोकरशायेन nokərəʃajenə
नोकरशाहा nokərəʃaɦa
नोकरां nokərã
नोकरांच्या nokərãtʃja
नोकराचो nokəratʃo
नोकरी nokəri
नोकरीय nokərijə
नोकरे nokəre
नोकरेंत nokərẽt̪ə
नोकरेंतल्यान nokərẽt̪əljanə
नोकरेक nokərekə
नोकरेचेर nokəretʃerə
नोकरेचो nokəretʃo
नोकरेच्या nokəretʃja
नोकरेर nokərerə
नोकर्यां nokərjã
नोकर्यांसची nokərjãsətʃi
नोकर्योक nokərjokə
नोकर्योट nokərjoʈə
नोकर्योव nokərjoʋə
नोकर्योस nokərjosə
नोकऱयांनी nokərjãni
नोकऱयो nokərjo
नोकऱ्यांक nokəjãkə
नोकऱ्यो nokəjo
नोक्चूरल noktʃurələ
नोट noʈə
नोटां noʈã
नोटिस noʈisə
नोटी noʈi
नोटीं noʈĩ
नोटींचे noʈĩtʃe
नोटींचें noʈĩtʃẽ
नोटीक noʈikə
नोटीची noʈitʃi
नोटीर noʈirə
नोटीस noʈisə
नोटीसेक noʈisekə
नोटेशन noʈeʃənə
नोट्स noʈsə
नोट्सांनी noʈsãni
नोतेंसंबंद not̪ẽsə̃bə̃d̪ə
नोबेल nobelə
नोरोन्य noronjə
नोर्मल normələ
नोल्स nolsə
नोव्हेंबर noʋɦẽbərə
नोव्हेंबरांत noʋɦẽbərãt̪ə
नोव्हेंबराक noʋɦẽbərakə
नोव्हेंबराच्या noʋɦẽbəratʃja
नौदळ nəud̪əɭə
न्या nja
न्याय njajə
न्यायदंडाधिकारी njajəd̪ə̃ɖad̪ʰikari
न्यायदान njajəd̪anə
न्यायदाना njajəd̪ana
न्यायदानांतल्या njajəd̪anãt̪əlja
न्यायदानाचें njajəd̪anatʃẽ
न्यायदानाचो njajəd̪anatʃo
न्यायदानूय njajəd̪anujə
न्यायदेवते njajəd̪eʋət̪e
न्यायदेवतेन njajəd̪eʋət̪enə
न्यायधिकारीं njajəd̪ʰikarĩ
न्यायनिश्ठूर njajəniʃʈʰurə
न्यायनिश्ठूरपणान njajəniʃʈʰurəpəɳanə
न्यायपालिका njajəpalika
न्यायपालिके njajəpalike
न्यायप्रक्रियेची njajəprəkrijetʃi
न्यायप्रणालीचें njajəprəɳalitʃẽ
न्यायप्रविश्ठ njajəprəʋiʃʈʰə
न्यायप्रियताय njajəprijət̪ajə
न्यायबुद्दीचे njajəbud̪d̪itʃe
न्यायमुर्ती njajəmurt̪i
न्यायमुर्तीं njajəmurt̪ĩ
न्यायमुर्तींतले njajəmurt̪ĩt̪əle
न्याययंत्रणा njajəjə̃t̪rəɳa
न्याययंत्रणेचे njajəjə̃t̪rəɳetʃe
न्यायलयान njajələjanə
न्यायसंस्था njajəsə̃st̪ʰa
न्यायसंस्थे njajəsə̃st̪ʰe
न्यायसंस्थेची njajəsə̃st̪ʰetʃi
न्यायसंस्थेचेर njajəsə̃st̪ʰetʃerə
न्यायसंस्थेच्या njajəsə̃st̪ʰetʃja
न्यायसंस्थेन njajəsə̃st̪ʰenə
न्यायाक njajakə
न्यायाची njajatʃi
न्यायाचो njajatʃo
न्यायादानाची njajad̪anatʃi
न्यायाधिशा njajad̪ʰiʃa
